3 3
points[25][25] = 
0.000000 0.875000 0.923880
-0.226467 0.845185 0.923880
-0.437500 0.757772 0.923880
-0.618718 0.618718 0.923880
-0.757772 0.437500 0.923880
-0.845185 0.226467 0.923880
-0.875000 0.000000 0.923880
-0.845185 -0.226467 0.923880
-0.757772 -0.437500 0.923880
-0.618718 -0.618718 0.923880
-0.437500 -0.757772 0.923880
-0.226467 -0.845185 0.923880
0.000000 -0.875000 0.923880
0.226467 -0.845185 0.923880
0.437500 -0.757772 0.923880
0.618718 -0.618718 0.923880
0.757772 -0.437500 0.923880
0.845185 -0.226467 0.923880
0.875000 0.000000 0.923880
0.916667 0.000000 0.866025
0.885432 0.237251 0.866025
0.793857 0.458333 0.866025
0.648181 0.648181 0.866025
0.458333 0.793857 0.866025
0.237251 0.885432 0.866025
0.000000 0.916667 0.866025
-0.237251 0.885432 0.866025
-0.458333 0.793857 0.866025
-0.648181 0.648181 0.866025
-0.793857 0.458333 0.866025
-0.885432 0.237251 0.866025
-0.916667 0.000000 0.866025
-0.885432 -0.237251 0.866025
-0.793857 -0.458333 0.866025
-0.648181 -0.648181 0.866025
-0.458333 -0.793857 0.866025
-0.237251 -0.885432 0.866025
0.000000 -0.916667 0.866025
0.237251 -0.885432 0.866025
0.458333 -0.793857 0.866025
0.648181 -0.648181 0.866025
0.793857 -0.458333 0.866025
0.885432 -0.237251 0.866025
0.916667 0.000000 0.866025
0.958333 0.000000 0.793353
0.925679 0.248035 0.793353
0.829941 0.479167 0.793353
0.677644 0.677644 0.793353
0.479167 0.829941 0.793353
0.248035 0.925679 0.793353
0.000000 0.958333 0.793353
-0.248035 0.925679 0.793353
-0.479167 0.829941 0.793353
-0.677644 0.677644 0.793353
-0.829941 0.479167 0.793353
-0.925679 0.248035 0.793353
-0.958333 0.000000 0.793353
-0.925679 -0.248035 0.793353
-0.829941 -0.479167 0.793353
-0.677644 -0.677644 0.793353
-0.479167 -0.829941 0.793353
-0.248035 -0.925679 0.793353
0.000000 -0.958333 0.793353
0.248035 -0.925679 0.793353
0.479167 -0.829941 0.793353
0.677644 -0.677644 0.793353
0.829941 -0.479167 0.793353
0.925679 -0.248035 0.793353
0.958333 0.000000 0.793353
1.000000 0.000000 0.707107
0.965926 0.258819 0.707107
0.866025 0.500000 0.707107
0.707107 0.707107 0.707107
0.500000 0.866025 0.707107
0.258819 0.965926 0.707107
0.000000 1.000000 0.707107
-0.258819 0.965926 0.707107
-0.500000 0.866025 0.707107
-0.707107 0.707107 0.707107
-0.866025 0.500000 0.707107
-0.965926 0.258819 0.707107
-1.000000 0.000000 0.707107
-0.965926 -0.258819 0.707107
-0.866025 -0.500000 0.707107
-0.707107 -0.707107 0.707107
-0.500000 -0.866025 0.707107
-0.258819 -0.965926 0.707107
0.000000 -1.000000 0.707107
0.258819 -0.965926 0.707107
0.500000 -0.866025 0.707107
0.707107 -0.707107 0.707107
0.866025 -0.500000 0.707107
0.965926 -0.258819 0.707107
1.000000 0.000000 0.707107
